"District","Town_Name","2011_Area_Km2","2001_Area_Km2","Area_Change_Reason","state_name","civic_status","clean_town_name"
"Sivaganga","Thirupuvanam T.P.",18,11.33,"Revised Computation","TAMIL NADU","T.P.","Thirupuvanam "
"Sivaganga","Ilayangudi T.P.",16.86,16.24,"Revised Computation","TAMIL NADU","T.P.","Ilayangudi "
"Madurai","A.Vellalapatti T.P.",8.88,6.25,"Revised Computation","TAMIL NADU","T.P.","Vellalapatti T.P."
"Madurai","Anaiyur M.",10,8,"Revised Computation","TAMIL NADU","M.","Anaiyur "
"Madurai","Palamedu T.P.",4,8.59,"Revised Computation","TAMIL NADU","T.P.","Palamedu "
"Madurai","Sholavandan T.P.",15.24,15.1,"Revised Computation","TAMIL NADU","T.P.","Sholavandan "
"Madurai","Alanganallur T.P.",4.8,4.08,"Revised Computation","TAMIL NADU","T.P.","Alanganallur "
"Madurai","Usilampatti M.",13.85,13.84,"Revised Computation","TAMIL NADU","M.","Usilampatti "
"Madurai","Elumalai T.P.",18.32,8.04,"Revised Computation","TAMIL NADU","T.P.","Elumalai "
"Madurai","T.Kallupatti T.P.",4.5,4.05,"Revised Computation","TAMIL NADU","T.P.","Kallupatti T.P."
"Madurai","Peraiyur T.P.",4.2,4.05,"Revised Computation","TAMIL NADU","T.P.","Peraiyur "
"Madurai","Madurai M.Corp.",51.96,51.85,"Revised Computation","TAMIL NADU","M.Corp.","Madurai Corp."
"Madurai","Thirunagar T.P.",5.3,5.15,"Revised Computation","TAMIL NADU","T.P.","Thirunagar "
"Madurai","Thiruparankundram M.",13.26,10.24,"Revised Computation","TAMIL NADU","M.","Thiruparankundram "
"Madurai","Harveypatti T.P.",6.81,16.81,"Revised Computation","TAMIL NADU","T.P.","Harveypatti "
"Theni","Melachokkanathapuram T.P.",1.2,20.2,"Revised Computation","TAMIL NADU","T.P.","Melachokkanathapuram "
"Theni","B. Meenakshipuram T.P.",12,7.95,"Revised Computation","TAMIL NADU","T.P."," Meenakshipuram T.P."
"Theni","Ganguvarpatti T.P.",5.6,3.86,"Revised Computation","TAMIL NADU","T.P.","Ganguvarpatti "
"Theni","Devadanapatti T.P.",14,6,"Revised Computation","TAMIL NADU","T.P.","Devadanapatti "
"Theni","Vadugapatti T.P.",5.125,4.37,"Revised Computation","TAMIL NADU","T.P.","Vadugapatti "
"Theni","Thamaraikulam T.P.",5,5.83,"Revised Computation","TAMIL NADU","T.P.","Thamaraikulam "
"Theni","Periyakulam M.",2.11,2.1,"Revised Computation","TAMIL NADU","M.","Periyakulam "
"Theni","Thenkarai T.P.",17.11,5.86,"Revised Computation","TAMIL NADU","T.P.","Thenkarai "
"Theni","Palani Chettipatti T.P.",4.5,4,"Revised Computation","TAMIL NADU","T.P.","Palani Chettipatti "
"Theni","Veerapandi T.P.",8,7,"Revised Computation","TAMIL NADU","T.P.","Veerapandi "
"Theni","Thevaram T.P.",14.52,35.87,"Revised Computation","TAMIL NADU","T.P.","Thevaram "
"Theni","Kuchanur T.P.",8,16.52,"Revised Computation","TAMIL NADU","T.P.","Kuchanur "
"Theni","Markayankottai T.P.",7.5,13.22,"Revised Computation","TAMIL NADU","T.P.","Markayankottai "
"Theni","Pannaipuram T.P.",15.36,11.8,"Revised Computation","TAMIL NADU","T.P.","Pannaipuram "
"Theni","Kombai T.P.",9.02,19.2,"Revised Computation","TAMIL NADU","T.P.","Kombai "
"Theni","Odaipatti T.P.",5.12,18.55,"Revised Computation","TAMIL NADU","T.P.","Odaipatti "
"Theni","Uthamapalayam T.P.",5.3,11.91,"Revised Computation","TAMIL NADU","T.P.","Uthamapalayam "
"Theni","Hanumanthampatti T.P.",7,11.36,"Revised Computation","TAMIL NADU","T.P.","Hanumanthampatti "
"Theni","Pudupatti T.P.",16.05,13.86,"Revised Computation","TAMIL NADU","T.P.","Pudupatti "
"Theni","Kamayagoundanpatti T.P.",13,20.76,"Revised Computation","TAMIL NADU","T.P.","Kamayagoundanpatti "
"Theni","Gudalur M.",32,40.04,"Revised Computation","TAMIL NADU","M.","Gudalur "
"Theni","Highways T.P.",10.26,43.06,"Revised Computation","TAMIL NADU","T.P.","Highways "
"Theni","Andipatti JakkampattiT.P.",5.89,5,"Revised Computation","TAMIL NADU",NA,"Andipatti Jakkampatti"
"Virudhunagar","Chettiarpatti T.P.",9.42,4.27,"Revised Computation","TAMIL NADU","T.P.","Chettiarpatti "
"Virudhunagar","Dhalavoipuram C.T.",8.7,1.41,"Revised Computation","TAMIL NADU","C.T.","Dhalavoipuram "
"Virudhunagar","S.Kodikulam T.P.",8.4,3.3,"Revised Computation","TAMIL NADU","T.P.","Kodikulam T.P."
"Virudhunagar","Mamsapuram T.P.",5.2,52,"Revised Computation","TAMIL NADU","T.P.","Mamsapuram "
"Virudhunagar","Thiruthangal M.",13,20,"Revised Computation","TAMIL NADU","M.","Thiruthangal "
"Virudhunagar","Pallapatti C.T.",48,5,"Revised Computation","TAMIL NADU","C.T.","Pallapatti "
"Virudhunagar","Naranapuram C.T.",14.3,3.7,"Revised Computation","TAMIL NADU","C.T.","Naranapuram "
"Virudhunagar","Anaiyur C.T.",26.7,8.31,"Revised Computation","TAMIL NADU","C.T.","Anaiyur "
"Virudhunagar","Viswanatham C.T.",9.99,9.98,"Revised Computation","TAMIL NADU","C.T.","Viswanatham "
"Virudhunagar","Alangulam C.T.",8.34,4.91,"Revised Computation","TAMIL NADU","C.T.","Alangulam "
"Virudhunagar","Sundarapandiam T.P.",12,16,"Revised Computation","TAMIL NADU","T.P.","Sundarapandiam "
"Virudhunagar","Virudhunagar M.",6.64,6.6,"Revised Computation","TAMIL NADU","M.","Virudhunagar "
"Virudhunagar","Rosalpatti C.T.",4.52,2.93,"Revised Computation","TAMIL NADU","C.T.","Rosalpatti "
"Virudhunagar","Kooraikundu C.T.",14.18,3.3,"Revised Computation","TAMIL NADU","C.T.","Kooraikundu "
"Virudhunagar","Kariapatti T.P.",18,8,"Revised Computation","TAMIL NADU","T.P.","Kariapatti "
"Virudhunagar","Srivilliputhur M.",5.72,5.7,"Revised Computation","TAMIL NADU","M.","Srivilliputhur "
"Virudhunagar","Rajapalayam M.",11.36,9.75,"Change in jurisdiction","TAMIL NADU","M.","Rajapalayam "
"Ramanathapuram","Thondi T.P.",10.165,3.92,"Revised Computation","TAMIL NADU","T.P.","Thondi "
"Ramanathapuram","R.S.Mangalam T.P.",13.258,13.25,"Revised Computation","TAMIL NADU","T.P.","Mangalam T.P."
"Ramanathapuram","Mudukulathur T.P.",23,23.51,"Revised Computation","TAMIL NADU","T.P.","Mudukulathur "
"Ramanathapuram","Abiramam T.P.",3,3.84,"Revised Computation","TAMIL NADU","T.P.","Abiramam "
"Ramanathapuram","Kamuthi T.P.",5.18,29.29,"Revised Computation","TAMIL NADU","T.P.","Kamuthi "
"Ramanathapuram","Keelakarai M.",2.45,27.2,"Revised Computation","TAMIL NADU","M.","Keelakarai "
"Ramanathapuram","Rameswaram M.",53,52.36,"Revised Computation","TAMIL NADU","M.","Rameswaram "
"Ramanathapuram","Mandapam T.P.",5,21.16,"Revised Computation","TAMIL NADU","T.P.","Mandapam "
"Ramanathapuram","Sayalgudi T.P.",12.2,14.3,"Revised Computation","TAMIL NADU","T.P.","Sayalgudi "
"Thoothukudi","Kalugumalai T.P.",11.44,4.42,"Revised Computation","TAMIL NADU","T.P.","Kalugumalai "
"Thoothukudi","Kayatharu T.P.",6.232,19.36,"Revised Computation","TAMIL NADU","T.P.","Kayatharu "
"Thoothukudi","Iluppaiyurani C.T.",9.32,10.83,"Revised Computation","TAMIL NADU","C.T.","Iluppaiyurani "
"Thoothukudi","Vilathikulam T.P.",17.92,18,"Revised Computation","TAMIL NADU","T.P.","Vilathikulam "
"Thoothukudi","Mappilaiurani C.T.",12.36,8.71,"Revised Computation","TAMIL NADU","C.T.","Mappilaiurani "
"Thoothukudi","Muttayyapuram C.T.",32,25.98,"Revised Computation","TAMIL NADU","C.T.","Muttayyapuram "
"Thoothukudi","Athimarapatti C.T.",5.78,5.5,"Revised Computation","TAMIL NADU","C.T.","Athimarapatti "
"Thoothukudi","Sayapuram T.P.",11.448,8.24,"Revised Computation","TAMIL NADU","T.P.","Sayapuram "
"Thoothukudi","Perungulam T.P.",20.48,8,"Revised Computation","TAMIL NADU","T.P.","Perungulam "
"Thoothukudi","Srivaikuntam T.P.",5.5,5.55,"Revised Computation","TAMIL NADU","T.P.","Srivaikuntam "
"Thoothukudi","Eral T.P.",1.5,15,"Revised Computation","TAMIL NADU","T.P.","Eral "
"Thoothukudi","Kayalpattinam M.",12.5,23.26,"Revised Computation","TAMIL NADU","M.","Kayalpattinam "
"Thoothukudi","Athur T.P.",25.6,23.6,"Revised Computation","TAMIL NADU","T.P.","Athur "
"Thoothukudi","Kanam T.P.",4.68,2.45,"Revised Computation","TAMIL NADU","T.P.","Kanam "
"Thoothukudi","Udangudi T.P.",10.8,12.7,"Revised Computation","TAMIL NADU","T.P.","Udangudi "
"Tirunelveli","Sivagiri T.P.",47,21.87,"Revised Computation","TAMIL NADU","T.P.","Sivagiri "
"Tirunelveli","Vasudevanallur T.P.",10.4,15.4,"Revised Computation","TAMIL NADU","T.P.","Vasudevanallur "
"Tirunelveli","Puliankudi M.",55.16,55.17,"Revised Computation","TAMIL NADU","M.","Puliankudi "
"Tirunelveli","Thiruvenkadam T.P.",16.45,11.5,"Revised Computation","TAMIL NADU","T.P.","Thiruvenkadam "
"Tirunelveli","Surandai T.P.",26,15,"Revised Computation","TAMIL NADU","T.P.","Surandai "
"Tirunelveli","Tenkasi M.",26.13,26.15,"Revised Computation","TAMIL NADU","M.","Tenkasi "
"Tirunelveli","Ilanji T.P.",8,8.59,"Revised Computation","TAMIL NADU","T.P.","Ilanji "
"Tirunelveli","Achampudur T.P.",13.07,13.48,"Revised Computation","TAMIL NADU","T.P.","Achampudur "
"Tirunelveli","Panpoli T.P.",8,8.11,"Revised Computation","TAMIL NADU","T.P.","Panpoli "
"Tirunelveli","Pudur (S) T.P.",33.21,33.2,"Revised Computation","TAMIL NADU","T.P.","Pudur ( T.P."
"Tirunelveli","Alangulam T.P.",12.29,14.65,"Revised Computation","TAMIL NADU","T.P.","Alangulam "
"Tirunelveli","Sankarnagar T.P.",8.49,8.48,"Revised Computation","TAMIL NADU","T.P.","Sankarnagar "
"Tirunelveli","Vikramasingapuram M.",38.57,38.85,"Revised Computation","TAMIL NADU","M.","Vikramasingapuram "
"Tirunelveli","Ambasamudram M.",17.84,24.73,"Revised Computation","TAMIL NADU","M.","Ambasamudram "
"Tirunelveli","Cheranmadevi T.P.",8.5,8.58,"Revised Computation","TAMIL NADU","T.P.","Cheranmadevi "
"Tirunelveli","Kalladaikurichi T.P.",6.506,10.59,"Revised Computation","TAMIL NADU","T.P.","Kalladaikurichi "
"Tirunelveli","Manimutharu T.P.",109,68.12,"Revised Computation","TAMIL NADU","T.P.","Manimutharu "
"Tirunelveli","Melacheval T.P.",8,5,"Revised Computation","TAMIL NADU","T.P.","Melacheval "
"Tirunelveli","Moolakaraipatti T.P.",34,35,"Revised Computation","TAMIL NADU","T.P.","Moolakaraipatti "
"Tirunelveli","Kalakad T.P.",19,17.6,"Revised Computation","TAMIL NADU","T.P.","Kalakad "
"Tirunelveli","Eruvadi T.P.",8,8.04,"Revised Computation","TAMIL NADU","T.P.","Eruvadi "
"Tirunelveli","Vadakkuvalliyur T.P.",29.67,19.9,"Revised Computation","TAMIL NADU","T.P.","Vadakkuvalliyur "
"Tirunelveli","Panagudi T.P.",49,49.5,"Revised Computation","TAMIL NADU","T.P.","Panagudi "
"Kanniyakumari","Kadayal T.P.",4.78,6.48,"Revised Computation","TAMIL NADU","T.P.","Kadayal "
"Kanniyakumari","Arumanai T.P.",6.4,4,"Revised Computation","TAMIL NADU","T.P.","Arumanai "
"Kanniyakumari","Edaicode T.P.",10.75,6.3,"Revised Computation","TAMIL NADU","T.P.","Edaicode "
"Kanniyakumari","Palugal T.P.",8.8,2.8,"Revised Computation","TAMIL NADU","T.P.","Palugal "
"Kanniyakumari","Ezhudesam T.P.",4.78,10,"Revised Computation","TAMIL NADU","T.P.","Ezhudesam "
"Kanniyakumari","Karungal T.P.",18.93,8.5,"Revised Computation","TAMIL NADU","T.P.","Karungal "
"Kanniyakumari","Ponmanai T.P.",17.21,17,"Change in jurisdiction","TAMIL NADU","T.P.","Ponmanai "
"Kanniyakumari","Verkilambi T.P.",15.5,7,"Revised Computation","TAMIL NADU","T.P.","Verkilambi "
"Kanniyakumari","Kumarapuram T.P.",14.07,2.35,"Revised Computation","TAMIL NADU","T.P.","Kumarapuram "
"Kanniyakumari","Valvaithankoshtam T.P.",2.56,2.65,"Revised Computation","TAMIL NADU","T.P.","Valvaithankoshtam "
"Kanniyakumari","Thiruvithancode T.P.",10.5,10.51,"Revised Computation","TAMIL NADU","T.P.","Thiruvithancode "
"Kanniyakumari","Eraniel T.P.",8.68,5.2,"Revised Computation","TAMIL NADU","T.P.","Eraniel "
"Kanniyakumari","Neyyoor T.P.",5.23,5.21,"Revised Computation","TAMIL NADU","T.P.","Neyyoor "
"Kanniyakumari","Reethapuram T.P.",3.34,5.04,"Revised Computation","TAMIL NADU","T.P.","Reethapuram "
"Kanniyakumari","Mandaikadu T.P.",2.2,5.63,"Revised Computation","TAMIL NADU","T.P.","Mandaikadu "
"Kanniyakumari","Vellimalai T.P.",3.23,3.25,"Revised Computation","TAMIL NADU","T.P.","Vellimalai "
"Kanniyakumari","Boothapandi T.P.",5,4.5,"Revised Computation","TAMIL NADU","T.P.","Boothapandi "
"Kanniyakumari","Therur T.P.",9.64,0.64,"Revised Computation","TAMIL NADU","T.P.","Therur "
"Kanniyakumari","Mylaudy T.P.",5.824,8,"Revised Computation","TAMIL NADU","T.P.","Mylaudy "
"Kanniyakumari","Alagappapuram T.P.",8.63,10.8,"Revised Computation","TAMIL NADU","T.P.","Alagappapuram "
"Kanniyakumari","Anjugrammam T.P.",7.6,7.65,"Revised Computation","TAMIL NADU","T.P.","Anjugrammam "
"Kanniyakumari","Kottaram T.P.",4.87,8.68,"Revised Computation","TAMIL NADU","T.P.","Kottaram "
"Kanniyakumari","Thenthamaraikulam T.P.",8.8,8.68,"Revised Computation","TAMIL NADU","T.P.","Thenthamaraikulam "
"Kanniyakumari","Thengampudur T.P.",4.15,10.1,"Revised Computation","TAMIL NADU","T.P.","Thengampudur "
"Kanniyakumari","Kulasekaram T.P.",6.25,6.5,"Revised Computation","TAMIL NADU","T.P.","Kulasekaram "
"Kanniyakumari","Villukuri T.P.",9.96,9.92,"Revised Computation","TAMIL NADU","T.P.","Villukuri "
"Kanniyakumari","Alur T.P.",8.099,8.03,"Revised Computation","TAMIL NADU","T.P.","Alur "
"Kanniyakumari","Kollancode T.P.",6.4,5.5,"Revised Computation","TAMIL NADU","T.P.","Kollancode "
"Kanniyakumari","Thiruvattar T.P.",6.3,4.15,"Revised Computation","TAMIL NADU","T.P.","Thiruvattar "
"Kanniyakumari","Thingalnagar T.P.",8.15,5.43,"Revised Computation","TAMIL NADU","T.P.","Thingalnagar "
"Dharmapuri","Marandahalli T.P.",1.6,14.6,"Revised Computation","TAMIL NADU","T.P.","Marandahalli "
"Dharmapuri","Kariamangalam T.P.",3.2,7.5,"Revised Computation","TAMIL NADU","T.P.","Kariamangalam "
"Dharmapuri","Harur T.P.",14.75,15.75,"Revised Computation","TAMIL NADU","T.P.","Harur "
"Dharmapuri","Kadathur T.P.",5.6,8.6,"Revised Computation","TAMIL NADU","T.P.","Kadathur "
"Dharmapuri","B.Mallapuram T.P.",13.21,24.16,"Revised Computation","TAMIL NADU","T.P.","Mallapuram T.P."
"Dharmapuri","Pappireddipatti T.P.",4.85,11.15,"Revised Computation","TAMIL NADU","T.P.","Pappireddipatti "
"Dharmapuri","Papparapatti T.P.",6.27,17.7,"Revised Computation","TAMIL NADU","T.P.","Papparapatti "
"Krishnagiri","Mathigiri T.P.",5,17.09,"Revised Computation","TAMIL NADU","T.P.","Mathigiri "
"Krishnagiri","Bargur T.P.",22.5,33.5,"Revised Computation","TAMIL NADU","T.P.","Bargur "
"Krishnagiri","Kaveripattinam T.P.",1.6,6.6,"Revised Computation","TAMIL NADU","T.P.","Kaveripattinam "
"Krishnagiri","Kattiganapalli C.T.",9.65,10.32,"Revised Computation","TAMIL NADU","C.T.","Kattiganapalli "
"Krishnagiri","Kelamangalam T.P.",6.12,12.15,"Revised Computation","TAMIL NADU","T.P.","Kelamangalam "
"Krishnagiri","Denkanikottai T.P.",14.25,28.25,"Revised Computation","TAMIL NADU","T.P.","Denkanikottai "
"Krishnagiri","Nagojanahalli T.P.",15,14,"Revised Computation","TAMIL NADU","T.P.","Nagojanahalli "
"Krishnagiri","Uthangarai T.P.",17.4,19.4,"Revised Computation","TAMIL NADU","T.P.","Uthangarai "
"Coimbatore","Sirumugai T.P.",6.28,16.2,"Revised Computation","TAMIL NADU","T.P.","Sirumugai "
"Coimbatore","Pallapalayam T.P.",10,5.6,"Revised Computation","TAMIL NADU","T.P.","Pallapalayam "
"Coimbatore","Kannampalayam T.P.",11.32,6.25,"Revised Computation","TAMIL NADU","T.P.","Kannampalayam "
"Coimbatore","Annur T.P.",18.28,12,"Revised Computation","TAMIL NADU","T.P.","Annur "
"Coimbatore","Gudalur T.P.",29.95,29.91,"Revised Computation","TAMIL NADU","T.P.","Gudalur "
"Coimbatore","Periyanaicken-palayam T.P.",9.37,15.54,"Revised Computation","TAMIL NADU","T.P.","Periyanaicken-palayam "
"Coimbatore","Idikarai T.P.",4.7,4.75,"Revised Computation","TAMIL NADU","T.P.","Idikarai "
"Coimbatore","Kalapatti T.P.",25.6,25.56,"Revised Computation","TAMIL NADU","T.P.","Kalapatti "
"Coimbatore","Saravanampatti T.P.",11.8,11.75,"Revised Computation","TAMIL NADU","T.P.","Saravanampatti "
"Coimbatore","Kurudampalayam C.T.",9,16.5,"Revised Computation","TAMIL NADU","C.T.","Kurudampalayam "
"Coimbatore","Ashokapuram C.T.",11.81,15,"Revised Computation","TAMIL NADU","C.T.","Ashokapuram "
"Coimbatore","Vilankurichi C.T.",9.2,9.22,"Revised Computation","TAMIL NADU","C.T.","Vilankurichi "
"Coimbatore","Vadavalli T.P.",13,12,"Revised Computation","TAMIL NADU","T.P.","Vadavalli "
"Coimbatore","Coimbatore M.Corp.",105.6,105.7,"Revised Computation","TAMIL NADU","M.Corp.","Coimbatore Corp."
"Coimbatore","Thondamuthur T.P.",11.42,6.5,"Revised Computation","TAMIL NADU","T.P.","Thondamuthur "
"Coimbatore","Kurichi M.",20.3,16.5,"Revised Computation","TAMIL NADU","M.","Kurichi "
"Coimbatore","Kuniyamuthur M.",13.87,16.8,"Revised Computation","TAMIL NADU","M.","Kuniyamuthur "
"Coimbatore","Chettipalayam T.P.",1.682,25,"Revised Computation","TAMIL NADU","T.P.","Chettipalayam "
"Coimbatore","Thirumalayampalayam T.P.",21,20,"Revised Computation","TAMIL NADU","T.P.","Thirumalayampalayam "
"Coimbatore","Anaimalai T.P.",25.12,10.5,"Revised Computation","TAMIL NADU","T.P.","Anaimalai "
"Coimbatore","Kottur T.P.",26.7,26.72,"Revised Computation","TAMIL NADU","T.P.","Kottur "
"Coimbatore","Achipatti C.T.",1.3,1.33,"Revised Computation","TAMIL NADU","C.T.","Achipatti "
"Coimbatore","Chinnampalayam C.T.",1.9,1.92,"Revised Computation","TAMIL NADU","C.T.","Chinnampalayam "
"Tiruppur","Muthur T.P.",32.7,31.69,"Revised Computation","TAMIL NADU","T.P.","Muthur "
"Tiruppur","Vellakoil M.",64.75,54.88,"Revised Computation","TAMIL NADU","M.","Vellakoil "
"Tiruppur","Rudravathi T.P.",30,33.52,"Revised Computation","TAMIL NADU","T.P.","Rudravathi "
"Tiruppur","Kannivadi T.P.",24.65,34.2,"Revised Computation","TAMIL NADU","T.P.","Kannivadi "
"Tiruppur","Mulanur T.P.",48.8,74.24,"Revised Computation","TAMIL NADU","T.P.","Mulanur "
"Tiruppur","Kolathupalayam T.P.",37,60.2,"Revised Computation","TAMIL NADU","T.P.","Kolathupalayam "
"Tiruppur","Chinnakkampalayam T.P.",32.3,49.83,"Revised Computation","TAMIL NADU","T.P.","Chinnakkampalayam "
"Tiruppur","Thottipalayam C.T.",5.69,11.28,"Revised Computation","TAMIL NADU","C.T.","Thottipalayam "
"Tiruppur","Andipalayam C.T.",9.01,9,"Revised Computation","TAMIL NADU","C.T.","Andipalayam "
"Tiruppur","Muruganpalayam C.T.",16.8,9.42,"Revised Computation","TAMIL NADU","C.T.","Muruganpalayam "
"Tiruppur","Veerapandi C.T.",21.02,11.64,"Revised Computation","TAMIL NADU","C.T.","Veerapandi "
"Tiruppur","Palladam M.",19.42,19.4,"Revised Computation","TAMIL NADU","M.","Palladam "
"Tiruppur","Semmipalayam C.T.",7.37,73.93,"Revised Computation","TAMIL NADU","C.T.","Semmipalayam "
"Tiruppur","Udumalaipettai M.",7.41,7.4,"Revised Computation","TAMIL NADU","M.","Udumalaipettai "
"Tiruppur","Kanakkampalayam C.T.",7.2,5.74,"Revised Computation","TAMIL NADU","C.T.","Kanakkampalayam "
"Yanam","Yanam M.",30,17,"Change in Jurisdiction","PONDICHERRY","M.","Yanam "
"Puducherry","Puducherry M.",19.54,23.17,"Change in Jurisdiction","PONDICHERRY","M.","Puducherry "
"Puducherry","Kurumbapet G.P.",3.59,9.19,"Change in Jurisdiction","PONDICHERRY","G.P.","Kurumbapet "
"South Andaman","Port Blair M.CI.",17.91,16.91,"Change in Jurisdiction","ANDAMAN & NICOBAR ISLANDS","M.CI.","Port Blair CI."
